founders type generation contribution sex
F0027 genealogical gen4 0.0306122448979592 female
F0028 genealogical gen1 NA female
F0028 genetic gen1 NA female
F0028 genealogical gen2 0.0408163265306122 female
F0028 genetic gen3 0.0187861271676301 female
F0028 genealogical gen3 0.0697180606346585 female
F0028 genetic gen2 NA female
F0028 genealogical gen4 0.125273616190214 female
F0028 genetic gen4 0.0361111111111111 female
F0029 genetic gen3 NA female
F0029 genetic gen1 NA female
F0029 genealogical gen2 NA female
F0029 genealogical gen3 0 female
F0029 genetic gen2 NA female
F0029 genealogical gen4 0 female
F0029 genetic gen4 0.0111111111111111 female
F0029 genealogical gen1 NA female
F0030 genealogical gen1 NA female
F0030 genetic gen3 0.0274566473988439 female
F0030 genealogical gen2 0.0612244897959184 female
F0030 genetic gen4 0.0527777777777778 female
F0030 genealogical gen3 0.101686917541583 female
F0030 genetic gen2 NA female
F0030 genealogical gen4 0.179464695319361 female
F0030 genetic gen1 NA female
F0031 genealogical gen1 NA female
F0031 genealogical gen2 0.0204081632653061 female
F0031 genetic gen4 0.0194444444444444 female
F0031 genealogical gen3 0.0377492037277339 female
F0031 genetic gen3 0.0101156069364162 female
F0031 genealogical gen4 0.0710825370610672 female
F0031 genetic gen2 NA female
F0031 genetic gen1 NA female
F0032 genetic gen4 0.0277777777777778 female
F0032 genealogical gen2 0.0408163265306122 female
F0032 genealogical gen3 0.0523770201722307 female
F0032 genealogical gen1 NA female
F0032 genetic gen2 NA female
F0032 genealogical gen4 0.074599242394453 female
F0032 genetic gen3 0.0144508670520231 female
F0032 genetic gen1 NA female
F0033 genealogical gen2 0.0306122448979592 female
F0033 genealogical gen3 0.0421729385395777 female
F0033 genealogical gen4 0.0643951607617999 female
F0033 genetic gen4 0.0222222222222222 female
F0033 genetic gen1 NA female
F0033 genetic gen3 0.0115606936416185 female
F0033 genealogical gen1 NA female
F0033 genetic gen2 NA female
F0034 genetic gen1 NA female
F0034 genetic gen2 NA female
F0034 genetic gen3 NA female
F0034 genealogical gen3 0 female
F0034 genealogical gen4 0 female
F0034 genealogical gen2 NA female
F0034 genetic gen4 0.0111111111111111 female
F0034 genealogical gen1 NA female
F0035 genetic gen2 NA female
F0035 genealogical gen2 NA female
F0035 genetic gen3 NA female
F0035 genealogical gen3 0 female
F0035 genetic gen4 0.0111111111111111 female
F0035 genealogical gen4 0 female
F0035 genealogical gen1 NA female
F0035 genetic gen1 NA female
F0036 genealogical gen3 0.0479532853603869 female
F0036 genetic gen4 0.025 female
F0036 genealogical gen4 0.0812866186937203 female
F0036 genealogical gen2 0.0306122448979592 female
F0036 genetic gen2 NA female
F0036 genealogical gen1 NA female
F0036 genetic gen3 0.0130057803468208 female
F0036 genetic gen1 NA female
F0037 genealogical gen4 0.0306122448979592 female
F0037 genealogical gen2 0.0306122448979592 female
F0037 genealogical gen1 NA female
F0037 genealogical gen3 0.0306122448979592 female
F0037 genetic gen3 0.00867052023121387 female
F0037 genetic gen2 NA female
F0037 genetic gen1 NA female
F0037 genetic gen4 0.0166666666666667 female
F0038 genetic gen4 0.0138888888888889 female
F0038 genetic gen3 0.00722543352601156 female
F0038 genealogical gen4 0.0372996211972265 female
F0038 genetic gen1 NA female
F0038 genealogical gen2 0.0204081632653061 female
F0038 genetic gen2 NA female
F0038 genealogical gen3 0.0261885100861154 female
F0038 genealogical gen1 NA female
M0001 genealogical gen2 0.0204081632653061 male
M0001 genealogical gen3 0.0261885100861154 male
M0001 genetic gen3 0.00722543352601156 male
M0001 genetic gen2 NA male
M0001 genetic gen1 NA male
M0001 genealogical gen1 NA male
M0001 genetic gen4 0.0138888888888889 male
M0001 genealogical gen4 0.0372996211972265 male
M0002 genetic gen3 0.0158959537572254 male
M0002 genetic gen1 NA male
M0002 genealogical gen3 0.05815736699304 male
M0002 genetic gen4 0.0305555555555556 male
M0002 genetic gen2 NA male
M0002 genealogical gen4 0.0914907003263733 male
M0002 genealogical gen1 NA male
M0002 genealogical gen2 0.0408163265306122 male
M0003 genetic gen2 NA male
M0003 genetic gen1 NA male
M0003 genealogical gen1 NA male
M0003 genealogical gen4 0.0714285714285714 male
M0003 genetic gen3 0.0202312138728324 male
M0003 genealogical gen2 0.0714285714285714 male
M0003 genetic gen4 0.0388888888888889 male
M0003 genealogical gen3 0.0714285714285714 male
M0004 genetic gen3 0.023121387283237 male
M0004 genetic gen2 NA male
M0004 genetic gen1 NA male
M0004 genealogical gen1 NA male
M0004 genealogical gen3 0.0829892650701899 male
M0004 genetic gen4 0.0444444444444444 male
M0004 genealogical gen4 0.105211487292412 male
M0004 genealogical gen2 0.0714285714285714 male
