Sample	ID	Sex	Age	Trapping_month	Trapping_year	Study_year	Birth_year	Loation	Dupliated
Af_402	1329019	f	juv?	Dec	2018	2018/2019	2018	Plot	0
Af_403	341650	f	ad?	Oct	2017	2017/2018	2016	Plot	0
Af_404	341649	m	ad?	Oct	2017	2017/2018	2016	Plot	0
Af_405	341886	m	juv?	July	2017	2017/2018	2017	Plot	0
Af_406	1566889	f	NA	Oct	2017	2017/2018	NA	Plot	0
Af_407	1316337	m	juv	July	2016	2016/2017	2016	Plot	0
Af_408	1566872	f	NA	Nov	2017	2017/2018	NA	Plot	0
Af_409	NA	m	NA	NA	NA	NA	NA	Plot	0
Af_410	341720	f	NA	Oct	2017	2017/2018	NA	Plot	0
Af_411	341704	f	NA	Oct	2017	2017/2018	NA	Plot	0
Af_412	1566894	f	ad?	Oct	2017	2017/2018	2016	Plot	0
Af_413	1566907	m	ad?	July	2017	2017/2018	2016	Plot	1
Af_414	1566901	f	NA	Oct	2017	2017/2018	NA	Plot	0
Af_415	1566856	f	NA	Nov	2017	2017/2018	NA	Plot	0
Af_416	1566863	f	ad	July	2017	2017/2018	2016	Plot	1
Af_417	1566915	m	ad?	Oct	2017	2017/2018	2016	Plot	0
Af_418	341733	m	ad?	Oct	2017	2017/2018	2016	Plot	0
Af_419	341712	f	NA	Oct	2017	2017/2018	NA	Plot	0
Af_420	1566890	m	NA	Nov	2017	2017/2018	NA	Plot	0
Af_421	1566891	f	NA	Nov	2017	2017/2018	NA	Plot	0
Af_422	1566864	m	NA	Nov	2017	2017/2018	NA	Plot	0
Af_423	1566892	m	NA	Nov	2017	2017/2018	NA	Plot	0
Af_424	1566897	m	NA	Oct	2017	2017/2018	NA	Plot	0
Af_425	1566905	f	ad?	Oct	2017	2017/2018	2016	Plot	0
Af_426	1566906	m	ad	Oct	2017	2017/2018	2016	Plot	0
Af_427	1566862	m	juv	Nov	2017	2017/2018	2017	Plot	0
Af_428	1566875	m	NA	Nov	2017	2017/2018	NA	Plot	0
Af_429	341711	m	NA	Oct	2017	2017/2018	NA	Plot	0
Af_430	341657	m	ad?	Oct	2017	2017/2018	2016	Plot	0
Af_431	1566873	f	NA	Nov	2017	2017/2018	NA	Plot	0
Af_432	341659	m	NA	Nov	2017	2017/2018	NA	Plot	0
Af_433	1566870	m	NA	Oct	2017	2017/2018	NA	Plot	0
Af_434	1566874	m	NA	Oct	2017	2017/2018	NA	Plot	0
Af_435	1566882	m	NA	Nov	2017	2017/2018	NA	Plot	0
Af_436	1566860	f	NA	Oct	2017	2017/2018	NA	Plot	0
Af_437	341705	f	NA	Oct	2017	2017/2018	NA	Plot	0
Af_438	1566913	f	NA	Oct	2017	2017/2018	NA	Plot	0
Af_439	1566902	f	ad?	Oct	2017	2017/2018	2016	Plot	0
Af_440	341653	m	NA	Oct	2017	2017/2018	NA	Plot	0
Af_441	341641	f	NA	Oct	2017	2017/2018	NA	Plot	0
Af_442	1566881	f	ad?	Oct	2017	2017/2018	2016	Plot	0
Af_443	1566859	m	NA	Nov	2017	2017/2018	NA	Plot	0
Af_444	341644	m	NA	Oct	2017	2017/2018	NA	Plot	0
