Sample	ID	Sex	Age	Trapping_month	Trapping_year	Study_year	Birth_year	Loation	Dupliated
Af_698	341435	f	ad	July	2017	2017/2018	2016	Plot	0
Af_699	1194897	f	NA	July	2016	2016/2017	NA	Plot	0
Af_700	341684	m	NA	July	2017	2017/2018	NA	Plot	0
Af_701	341455	m	NA	Oct	2016	2016/2017	NA	Plot	0
Af_702	1316236	m	juv?	July	2016	2016/2017	2016	Plot	0
Af_703	341857	f	NA	July	2017	2017/2018	NA	Plot	0
Af_704	1316242	f	juv?	July	2016	2016/2017	2016	Plot	0
Af_705	1540304	f	NA	July	2017	2017/2018	NA	Plot	0
Af_706	1329050	m	ad	July	2016	2016/2017	2015	Plot	0
Af_707	341589	m	juv	July	2017	2017/2018	2017	Plot	0
Af_708	341691	f	ad	July	2017	2017/2018	2016	Plot	0
Af_709	NA	f	NA	NA	NA	NA	NA	Plot	0
Af_710	341588	m	juv	July	2017	2017/2018	2017	Plot	0
Af_711	NA	m	NA	NA	NA	NA	NA	Plot	0
Af_712	341844	m	juv	July	2017	2017/2018	2017	Plot	0
Af_713	1316209	f	juv?	July	2016	2016/2017	2016	Plot	0
Af_714	1540172	m	NA	July	2017	2017/2018	NA	Plot	0
Af_715	1329706	m	ad	July	2016	2016/2017	2015	Plot	0
Af_716	341858	f	NA	July	2017	2017/2018	NA	Plot	0
Af_717	1316240	m	juv	July	2016	2016/2017	2016	Plot	0
Af_718	341666	f	NA	July	2017	2017/2018	NA	Plot	0
Af_719	1316119	m	NA	NA	NA	NA	NA	Plot	0
Af_720	1329053	m	ad	July	2016	2016/2017	2015	Plot	0
Af_721	1539817	f	juv	July	2017	2017/2018	2017	Plot	0
Af_722	NA	NA	NA	NA	NA	NA	NA	Plot	0
Af_723	341472	m	ad?	July	2017	2017/2018	2016	Plot	0
Af_724	341675	m	juv?	July	2017	2017/2018	2017	Plot	0
Af_725	1316350	f	NA	July	2016	2016/2017	NA	Plot	0
Af_726	1316348	m	ad	July	2016	2016/2017	2015	Plot	0
Af_727	341895	m	NA	July	2017	2017/2018	NA	Plot	0
Af_728	1316200	f	juv?	July	2016	2016/2017	2016	Plot	0
Af_729	1316246	m	juv?	July	2016	2016/2017	2016	Plot	0
Af_730	1329712	m	ad?	July	2016	2016/2017	2015	Plot	0
Af_731	341669	m	NA	July	2017	2017/2018	NA	Plot	0
Af_732	1316226	m	ad	July	2016	2016/2017	2015	Plot	0
Af_733	1539700	f	juv	July	2017	2017/2018	2017	Plot	0
Af_734	341734	m	ad	Apr	2017	2017/2018	2016	Plot	0
Af_735	341678	f	NA	July	2017	2017/2018	NA	Plot	0
Af_736	341697	f	juv	July	2017	2017/2018	2017	Plot	0
Af_737	341850	f	NA	July	2017	2017/2018	NA	Plot	0
Af_738	1194888	m	juv	July	2016	2016/2017	2016	Plot	0
Af_739	341665	m	juv	July	2017	2017/2018	2017	Plot	0
Af_740	1315880	m	juv	July	2016	2016/2017	2016	Plot	0
Af_741	1315510	f	juv	July	2016	2016/2017	2016	Plot	0
Af_742	1567470	m	NA	NA	NA	2018/2019	NA	Plot	0
Af_743	1567456	m	NA	NA	NA	2018/2019	NA	Plot	0
Af_744	1566926	m	NA	Nov	2018	2018/2019	NA	Plot	0
Af_745	1566929	f	NA	Nov	2018	2018/2019	NA	Plot	0
Af_746	1566733	f	NA	Nov	2017	2017/2018	NA	Plot	0
Af_747	1567318	m	NA	Oct	2018	2018/2019	NA	Plot	0
Af_748	1566718	m	NA	Nov	2018	2018/2019	NA	Plot	0
Af_749	1567327	m	juv	Oct	2018	2018/2019	2018	Plot	0
Af_750	1566794	m	NA	Sep	2018	2018/2019	NA	Plot	0
Af_751	1567474	f	NA	NA	NA	2018/2019	NA	Plot	0
Af_752	1567320	m	juv?	NA	NA	2018/2019	NA	Plot	0
Af_753	1566934	f	juv	Nov	2018	2018/2019	2018	Plot	0
Af_754	1566928	m	ad	Nov	2018	2018/2019	2017	Plot	0
Af_755	1566726	f	NA	Nov	2018	2018/2019	NA	Plot	0
Af_756	1567316	m	NA	Oct	2018	2018/2019	NA	Plot	0
Af_757	1566724	m	juv?	Nov	2018	2018/2019	2018	Plot	0
Af_758	1567328	m	NA	Sep	2018	2018/2019	NA	Plot	0
Af_759	1567308	m	NA	Sep	2018	2018/2019	NA	Plot	0
Af_760	1566931	f	NA	Nov	2018	2018/2019	NA	Plot	0
Af_761	1567321	m	NA	NA	NA	2018/2019	NA	Plot	0
Af_762	1566919	f	NA	Nov	2018	2018/2019	NA	Plot	0
Af_763	1566924	f	NA	Nov	2018	2018/2019	NA	Plot	0
Af_764	1566719	f	NA	Nov	2018	2018/2019	NA	Plot	0
Af_765	1566723	m	NA	Nov	2018	2018/2019	NA	Plot	0
Af_766	1567325	m	ad?	Oct	2018	2018/2019	2017	Plot	0
Af_767	1566722	m	ad?	Nov	2018	2018/2019	2017	Plot	0
Af_768	1567315	m	NA	Oct	2018	2018/2019	NA	Plot	0
Af_769	1567306	f	NA	Sep	2018	2018/2019	NA	Plot	0
Af_770	IBSX3	m	NA	Jan	2019	2018/2019	NA	Institute	0
Af_771	1566731	f	NA	Nov	2018	2018/2019	NA	Plot	0
Af_772	1566730	m	NA	Nov	2018	2018/2019	NA	Plot	0
Af_773	1566735	m	NA	Nov	2018	2018/2019	NA	Plot	0
Af_774	1566717	f	ad?	Nov	2018	2018/2019	2017	Plot	0
Af_775	1567332	f	NA	Oct	2018	2018/2019	NA	Plot	0
Af_776	1566716	m	NA	Nov	2018	2018/2019	NA	Plot	0
Af_777	1567296	m	NA	Oct	2018	2018/2019	NA	Plot	0
Af_778	1567312	m	NA	Sep	2018	2018/2019	NA	Plot	0
Af_779	IBSX4	f	NA	Jan	2019	2018/2019	NA	Institute	0
Af_780	1566935	f	ad?	Nov	2018	2018/2019	2017	Plot	0
Af_781	1566920	m	ad?	Nov	2018	2018/2019	2017	Plot	0
Af_782	1566927	m	NA	Nov	2018	2018/2019	NA	Plot	0
Af_783	1566721	m	NA	Nov	2018	2018/2019	NA	Plot	0
Af_784	1567311	m	NA	Oct	2018	2018/2019	NA	Plot	0
Af_785	1567297	m	NA	Oct	2018	2018/2019	NA	Plot	0
Af_786	1567300	f	NA	Sep	2018	2018/2019	NA	Plot	0
Af_787	1567304	m	juv	July	2018	2018/2019	2018	Plot	0
Af_788	1567323	m	NA	Dec	2018	2018/2019	NA	Plot	0
Af_789	1566746	m	ad?	Dec	2018	2018/2019	2017	Plot	0
Af_790	1566918	f	NA	Nov	2018	2018/2019	NA	Plot	0
Af_791	1567310	f	ad	Oct	2018	2018/2019	2017	Plot	0
Af_792	1566728	m	NA	Nov	2018	2018/2019	NA	Plot	0
Af_793	1567314	m	juv	July	2018	2018/2019	2018	Plot	0
Af_794	1567333	f	NA	Oct	2016	2018/2019	NA	Plot	0
Af_795	1567309	m	juv?	Sep	2018	2018/2019	2018	Plot	0
Af_796	1567313	m	NA	Sep	2018	2018/2019	NA	Plot	0
Af_797	341605	f	NA	July	2017	2017/2018	NA	Plot	0
Af_798	1566729	f	NA	Nov	2018	2018/2019	NA	Plot	0
Af_799	341443	m	NA	July	2017	2017/2018	NA	Plot	0
Af_800	1566922	f	NA	Nov	2018	2018/2019	NA	Plot	0
Af_801	1566720	f	ad	Nov	2018	2018/2019	2017	Plot	0
Af_802	1567322	f	NA	Sep	2018	2018/2019	NA	Plot	0
Af_803	1566734	m	NA	Oct	2018	2018/2019	NA	Plot	0
Af_804	1566795	f	ad	July	2018	2018/2019	2017	Plot	0
Af_805	1566791	m	juv	July	2018	2018/2019	2018	Plot	0
Af_806	1567330	m	NA	NA	NA	2018/2019	NA	Plot	0
Af_807	1567334	m	NA	NA	NA	2018/2019	NA	Plot	0
Af_808	1567465	f	NA	NA	NA	2018/2019	NA	Plot	0
Af_809	1567324	m	NA	NA	NA	2018/2019	NA	Plot	0
