sample	coverage_type	mean	stdev	max	n_reads	percentage
Af_552-606	primary	65.37	51.08	331	6106865	80.7
Af_560-561	primary	27.36	20.03	143	2359138	80.4
Af_570-571	primary	36.33	25.14	187	3039497	81.6
Af_619-668	primary	53.8	36.74	250	4639769	82.2
Af_1	secondary	5.52	4.16	139	43704	28.5
Af_10	secondary	10.4	5.56	114	530034	83.9
Af_100	secondary	16.27	9.04	169	979679	78.3
Af_101	secondary	25.36	14.51	237	1636544	80.9
Af_102	secondary	11.47	6.51	138	627386	80.7
Af_103	secondary	29.58	16.62	296	1901872	86.2
Af_104	secondary	19.55	10.61	150	1182554	86.6
Af_106	secondary	32.06	18.9	296	2064837	85.1
Af_107	secondary	18.02	10.33	172	1086999	81.7
Af_108	secondary	13.84	8.02	114	794710	82.8
Af_109	secondary	10.95	7.02	159	584504	74.9
Af_112	secondary	21.03	12.03	232	1288194	83.3
Af_113	secondary	17.72	10.54	168	1110303	75.4
Af_114	secondary	12.39	7.26	119	696454	81.3
Af_116	secondary	17.58	9.59	143	1050532	86.1
Af_117	secondary	39.39	25.88	404	2657305	84.3
Af_118	secondary	28.38	16.27	198	1810184	87.7
Af_119	secondary	21.42	11.45	166	1306441	84.5
Af_12	secondary	7.65	9.3	189	191189	42.1
Af_120	secondary	39.57	25.86	296	2616688	85.6
Af_121	secondary	14.27	8.01	308	833061	83.1
Af_123	secondary	17.4	9.51	225	1039828	85.5
Af_124	secondary	28.41	15.92	225	1812628	83.6
Af_125	secondary	20.98	11.77	171	1300885	83.2
Af_126	secondary	11.51	6.81	268	632760	79.4
Af_128	secondary	18.83	10.41	178	1136902	84.6
Af_129	secondary	15.93	8.99	191	946892	81.1
Af_13	secondary	14.54	8.02	118	803133	84.8
Af_130	secondary	24.01	13.19	213	1495123	87.6
Af_132	secondary	24.34	13.37	196	1526657	83.8
Af_133	secondary	21.94	12.52	215	1366886	85.7
Af_134	secondary	18.2	10.5	160	1078707	84.6
Af_135	secondary	20.84	12.04	207	1270930	84.2
Af_136	secondary	33.22	18.88	259	2147107	83.8
Af_137	secondary	23.66	12.76	210	1465173	85.8
Af_138	secondary	18.56	10.76	151	1113398	85.4
Af_14	secondary	19.47	11.22	157	1133521	84.6
Af_140	secondary	18.79	10.08	134	1119063	86.2
Af_141	secondary	19.06	10.2	157	1145628	83.4
Af_142	secondary	19.87	10.81	161	1203131	86.0
Af_143	secondary	22.68	12.09	296	1409841	85.8
Af_146	secondary	14.29	8.2	144	818981	82.1
Af_147	secondary	18.06	10.35	272	1083255	82.6
Af_15	secondary	30.43	17.65	273	1878228	87.8
Af_150	secondary	11.78	6.63	242	652444	82.0
Af_152	secondary	17.33	9.3	130	1039230	85.3
Af_153	secondary	13.23	7.07	201	760861	80.9
Af_154	secondary	20.88	11.34	145	1282111	85.0
Af_155	secondary	18.19	10.61	190	1099593	83.2
Af_156	secondary	14.76	8.36	125	865329	82.5
Af_157	secondary	9.68	5.56	182	499897	78.1
Af_158	secondary	13.2	7.73	206	753330	79.8
Af_159	secondary	13.79	7.73	186	796876	80.5
Af_160	secondary	44.81	26.31	402	3024580	84.8
Af_161	secondary	31.55	17.71	279	2045912	85.7
Af_162	secondary	15.98	9.13	293	954176	83.7
Af_163	secondary	19.55	10.84	226	1208353	82.9
Af_164	secondary	13.12	7.08	123	749076	83.2
Af_165	secondary	12.69	7.2	176	714701	76.4
Af_166	secondary	40.11	23.38	291	2634957	88.7
Af_167	secondary	16.83	8.99	186	1012880	82.9
Af_169	secondary	20.21	11.54	212	1247471	81.1
Af_17	secondary	10.68	6.3	117	535484	81.4
Af_170	secondary	19.04	10.96	150	1146643	85.8
Af_171	secondary	15.72	8.78	145	927704	82.6
Af_173	secondary	14.79	8.71	292	866033	77.3
Af_174	secondary	12.78	7.38	379	724503	81.9
Af_175	secondary	22.34	12.24	171	1392458	86.3
Af_18	secondary	13.06	7.1	139	715017	85.5
Af_183	secondary	20.95	12.13	345	1282229	82.6
Af_184	secondary	32.92	18.51	268	2083532	85.8
Af_185	secondary	17.35	9.33	190	1036210	81.5
Af_186	secondary	15.82	8.88	213	924054	85.3
Af_187	secondary	47.22	28.68	387	3151484	87.7
Af_188	secondary	12.95	6.97	236	731307	84.7
Af_189	secondary	12.35	6.65	140	689875	84.2
Af_19	secondary	37.67	22.63	300	2378248	85.3
Af_190	secondary	14.97	8.19	165	865298	82.1
Af_191	secondary	24.45	13.48	210	1509001	86.6
Af_192	secondary	25.38	14.49	213	1568913	86.8
Af_193	secondary	25.86	15.76	254	1630044	83.6
Af_194	secondary	44.13	86.09	427	92885	68.3
Af_195	secondary	100.79	93.15	1181	8964470	75.0
Af_196	secondary	78.44	119.72	658	93575	81.8
Af_197	secondary	15.23	32.16	385	204271	36.3
Af_198	secondary	38.65	23.59	316	2501400	86.2
Af_199	secondary	79.81	50.55	677	5674816	85.9
Af_2	secondary	17.6	10.55	186	1023797	77.6
Af_20	secondary	36.2	21.22	356	2260836	87.1
Af_201	secondary	23.42	13.95	210	1433246	86.7
Af_202	secondary	8.22	5.66	113	203921	67.2
Af_203	secondary	32.03	20.7	320	2091660	87.1
Af_204	secondary	60.31	39.87	660	4219983	88.4
Af_205	secondary	12.92	8.01	181	724221	82.2
Af_206	secondary	5.35	2.82	96	74848	53.0
Af_208	secondary	6.38	3.44	74	183161	66.3
Af_209	secondary	37.77	22.71	263	2538745	87.7
Af_210	secondary	4.69	2.08	9	75	1.8
Af_211	secondary	13.9	8.45	120	759937	85.3
Af_212	secondary	5.31	2.65	104	104661	62.4
Af_213	secondary	33.36	21.61	289	2157680	88.0
Af_214	secondary	31.6	22.8	322	2045645	86.0
Af_215	secondary	35.14	23.58	384	2292930	86.9
Af_216	secondary	9.93	6.81	137	387755	74.0
Af_217	secondary	4.69	5.39	94	4279	14.5
Af_218	secondary	5.76	4.71	30	501	5.1
Af_219	secondary	5.04	5.21	59	2232	10.8
Af_220	secondary	5.84	9.73	74	549	5.6
Af_221	secondary	53.44	36.7	474	3770524	87.7
Af_222	secondary	4.42	2.62	67	19831	30.0
Af_223	secondary	15.96	9.63	153	916709	86.5
Af_224	secondary	6.14	3.08	60	162433	69.8
Af_225	secondary	38.78	24.81	338	2573507	85.5
Af_227	secondary	50.15	32.22	485	3413991	88.8
Af_228	secondary	48.2	31.61	436	3395572	85.8
Af_230	secondary	5.02	7.92	105	1050	7.3
Af_231	secondary	20.87	15.72	261	1242676	84.6
Af_232	secondary	50.87	30.73	467	3467131	89.6
Af_233	secondary	10.61	6.93	94	448454	80.0
Af_234	secondary	60.43	38.45	431	4344063	87.6
Af_235	secondary	31.69	19.61	250	2037332	85.5
Af_236	secondary	4.42	4.32	69	5550	16.7
Af_237	secondary	16.46	10.31	143	942074	86.8
Af_238	secondary	40.84	26.42	440	2679331	87.0
Af_239	secondary	34.14	22	329	2202454	85.9
Af_24	secondary	18.99	10.87	148	1111230	81.1
Af_240	secondary	61.58	38.73	533	4328127	88.9
Af_241	secondary	6.16	3.43	50	159256	66.6
Af_242	secondary	38.39	22.88	340	2555500	88.3
Af_244	secondary	8.75	21.89	122	245	2.7
Af_246	secondary	68.69	45.88	576	4915055	88.3
Af_247	secondary	5.94	4.9	28	190	2.3
Af_248	secondary	5.04	2.48	45	65072	52.0
Af_249	secondary	20.35	12.36	228	1213088	86.9
Af_25	secondary	31.51	18.27	247	1929917	88.1
Af_250	secondary	29.77	18.48	280	1949398	85.3
Af_251	secondary	32.25	18.89	259	2058003	88.3
Af_252	secondary	37.33	20.78	332	2444530	88.0
Af_253	secondary	4.84	2.61	47	58288	45.4
Af_254	secondary	36.48	21.66	391	2416634	85.9
Af_255	secondary	32.43	19.23	300	2101057	86.2
Af_256	secondary	5.13	9.35	219	3434	13.0
Af_257	secondary	4.47	2.34	39	25606	31.6
Af_258	secondary	13.46	9.31	142	678622	79.9
Af_26	secondary	25.08	14.09	204	1524295	85.7
Af_260	secondary	5.65	2.67	46	140444	68.8
Af_261	secondary	12.82	8.18	183	650785	83.2
Af_263	secondary	41.84	26.11	347	2805620	88.4
Af_265	secondary	29.12	16.84	279	1851199	86.2
Af_266	secondary	41.94	24.05	426	2747842	87.3
Af_267	secondary	25.87	14.39	297	1615505	87.0
Af_268	secondary	7.26	4.23	80	228407	73.6
Af_27	secondary	27.21	15.95	243	1653674	86.6
